t,tf0,ts0
520392.6,873.48645,806.20276
522870.66,872.8024,847.90875
525348.75,872.7886,863.2859
527826.75,872.83606,869.1195
530304.8,872.8128,871.2973
532782.9,872.8418,872.22125
535260.94,872.8808,872.5923
537739.0,872.9657,872.74725
540217.06,873.1501,872.8878
542695.1,873.1311,872.95386
545173.2,872.9845,872.9582
547651.25,872.921,872.98035
550129.3,872.86035,872.98486
552607.4,872.72144,872.8702
555085.44,872.66003,872.78516
557563.5,872.62915,872.7167
560041.56,872.5829,872.67426
562519.6,872.5503,872.64276
564997.7,871.1021,872.0895
567475.75,866.41376,869.64374
569953.8,857.30646,863.82837
572431.9,843.289,853.6495
574909.94,824.21405,838.4647
577388.0,800.6213,818.6128
579866.06,773.20264,794.3494
582344.1,742.6041,766.0184
584822.2,739.7658,744.8734
587300.25,742.1139,742.1215
589778.25,741.3817,741.2511
592256.3,740.60114,740.53876
594734.4,739.80725,739.6377
597212.44,739.0226,738.8805
599690.5,738.32776,738.20514
602168.56,737.4175,737.45483
